title,company,expreince,location,salary,category,starter
Специалист технической поддержки,ОООSAPFORIS,Опыт 3-6 лет,Ташкент,,Other,False
IT Project Manager (Middle+),ОООANYSOFT,Опыт 3-6 лет,Ташкент,10 000 000 – 15 000 000so'mдо вычета налогов,Project Manager,False
Head of Marketing Department,Globbing,Опыт 3-6 лет,Ташкент,до20 800 000so'mна руки,Marketing,False
Primary School Teacher Assistant,ОООWestminster International School in Tashkent,Опыт 1-3 года,Ташкент,,Other,True
Оператор call-центра (БЕЗ ПРОДАЖ),ОООAIVA Group,Без опыта,Ташкент,от4 000 000so'mдо вычета налогов,Sales,True
Руководитель колл-центра,ОООECO TORG,Опыт 1-3 года,Ташкент,,Other,True
Менеджер по персоналу,ОООWeWork Group,Опыт 3-6 лет,Ташкент,от1 000$до вычета налогов,HR/Recruiter,False
Графический дизайнер с AI-навыками,P & A shoe,Опыт 1-3 года,Ташкент,500 – 1 200$до вычета налогов,Designer,True
Вакансия: UX/UI дизайнер (Figma),ОООMEGABITE-CRM,Опыт 1-3 года,Ташкент,4 000 000 – 6 000 000so'mна руки,Designer,True
Java Developer - Middle,ОООNOMADIAN,Опыт 1-3 года,Ташкент,от12 000 000so'mдо вычета налогов,Java Developer,True
Receptionist,ОООHITC,Опыт 1-3 года,Ташкент,4 000 000 – 4 000 000so'mна руки,Other,True
"Специалист по развитию территории (Sales Development Executive), проект Philip Morris International",Philip Morris International,Опыт 1-3 года,Ташкент,8 000 000 – 10 500 000so'mдо вычета налогов,Sales,True
We are hiring an Android Developer for the Testbor.com project!,ОООTESTBOR,Опыт 3-6 лет,Ташкент,от2 000$на руки,Mobile Developer,False
Специалист по техники безопасности в строительстве,ООО“Ko’zgu Muhabbat” (B.INVEST Development),Опыт 1-3 года,Ташкент,от5 000 000so'mдо вычета налогов,Other,True
.Net developer (Middle+/Senior),ОООWEBASE,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Бизнес ассистент основателя агентствы,ОООSNDCT,Без опыта,Ташкент,3 000 000 – 6 000 000so'mна руки,Other,True
Frontend-разработчик Vue,"O'ZBEKISTON RESPUBLIKASI INVESTITSIYALAR, SANOAT VA SAVDO VAZIRLIGI QOSHIDAGI RAQAMLASHTIRISH MARKAZI MCHJ",Опыт 1-3 года,Ташкент,400 – 500$до вычета налогов,Frontend,True
Middle Backend Developer(Go/Python),NASIROV SH. S. (BOTAN),Опыт 1-3 года,Ташкент,,Backend,True
Тьютор (Наставник) КиберШколы,ОООKiber1,Без опыта,Ташкент,,Other,True
Flutter разработчик / Flutter Developer (middle),ОООTafakkur Group,Опыт 1-3 года,Ташкент,,Mobile Developer,True
QC инженер,т.м AB.Digital (ООО Bazis Digital),Без опыта,Ташкент,8 000 000 – 14 000 000so'mна руки,Engineer,True
Технический архитектор/ведущий программист 1С/программист 1С,ОООAMEGA ITS,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
IT Project manager,ОООWEBASE,Опыт 3-6 лет,Ташкент,,Project Manager,False
Investment banking analyst,ABRAU Capital,Опыт 3-6 лет,Ташкент,,Data/Analytics,False
Communications specialist,SUEZ INTERNATIONAL SAS,Опыт 3-6 лет,Ташкент,,Other,False
Программист фрезерных станков ЧПУ,ОООAKFA BUILDING MATERIALS. Производство,Опыт 1-3 года,Ташкент,5 000 000 – 8 000 000so'mна руки,Software Engineer (General),True
Бизнес-Аналитик (банковское программное обеспечение),ОООCS FINSOFT,Опыт 3-6 лет,Ташкент,,Data/Analytics,False
Project Coordinator (Energy Sector),ОООSMEC TASHKENT,Опыт 3-6 лет,Ташкент,,Other,False
Technical Sales Manager for Cement Industry,ZAB Zementanlagenbau GmbH Dessau,Опыт 3-6 лет,Ташкент,,Sales,False
React Native Mobile App Developer,ОООIMANTECH,Опыт 1-3 года,Ташкент,,Frontend,True
Strong Junior Flutter-разработчик,ОООDAMDA SAYYOH,Опыт 1-3 года,Ташкент,300 – 600$на руки,Mobile Developer,True
Travel Consultant,ОООWeWork Group,Без опыта,Ташкент,,Other,True
Функциональный архитектор/ ведущий консультант 1С / бизнес-аналитик 1С,ОООAMEGA ITS,Опыт 3-6 лет,Ташкент,,Data/Analytics,False
HR specialist,KT&G Corporation,Опыт 3-6 лет,Ташкент,,HR/Recruiter,False
Руководитель проектов,АССОЦИАЦИЯ IT ALLIANCE SWS,Опыт 3-6 лет,Ташкент,10 000 000 – 10 000 000so'mна руки,Other,False
Менеджер тех.поддержки,ОООSMARTBOX ENTERPRISE SOLUTIONS,Без опыта,Ташкент,,Other,True
Project Manager / Менеджер проекта в ИТ,ОООTafakkur Group,Опыт 1-3 года,Ташкент,,Project Manager,True
Hostess,ОООHITC,Опыт 1-3 года,Ташкент,3 500 000 – 4 000 000so'mна руки,Other,True
B2B Team Leader,ОООHR CAPITAL CONSULTING,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Шеф-повар,ОООGP Development,Опыт 1-3 года,Ташкент,от20 000 000so'mдо вычета налогов,Other,True
Early Years Teacher,ОООТашкентская Международная Школа,Опыт 3-6 лет,Ташкент,,Other,False
UX/UI designer (FIGMA),ОООTafakkur Group,Опыт 1-3 года,Ташкент,,Designer,True
HR manager,Runking Motor Co. Ltd.,Опыт 1-3 года,Ташкент,10 000 000 – 12 000 000so'mдо вычета налогов,HR/Recruiter,True
