title,company,expreince,location,salary,category,starter
React Разработчик,АОPAYNET,Опыт 3-6 лет,Ташкент,,Frontend,False
Senior Java-разработчик,АОPAYNET,Опыт 3-6 лет,Ташкент,,Java Developer,False
Java Middle инженер-разработчик,ООО AttoLabs CA,Опыт 3-6 лет,Ташкент,1 200 – 2 000$на руки,Java Developer,False
Начальник управления разработки карточных продуктов,АОOctobank,Опыт 3-6 лет,Ташкент,,Other,False
Главный архитектор JAVA,ОООMUK Computers,Без опыта,Ташкент,,Java Developer,True
Head of Human Capital Development,TBC,Опыт более 6 лет,Ташкент,,IT specialest,False
Senior Software Engineer (Java) / Team Lead,ООО AttoLabs CA,Опыт более 6 лет,Ташкент,1 800 – 2 500$на руки,Java Developer,False
Специалист технической поддержки,ОООUZINFOCOM,Опыт 1-3 года,Ташкент,,Other,True
Менеджер по развитию бизнеса,ОООMountain Ridge,Опыт 3-6 лет,Ташкент,,Other,False
Программист 1С,ОООBUYURSIN SOLUTIONS,Опыт 3-6 лет,Ташкент,от40 000 000so'mна руки,Software Engineer (General),False
Visa manager,ОООНОУ Thompson Drujba,Опыт 1-3 года,Ташкент,,Project Manager,True
Системный аналитик,ОООCOSCOM ТМ Ucell,Опыт 3-6 лет,Ташкент,,Data/Analytics,False
Разработчик 1С,ТООAdvantiX group,Опыт 1-3 года,Ташкент,,Software Engineer (General),True
Visiting Faculty in Economics,ОООUniversity of Central Asia,Без опыта,Ташкент,,IT specialest,True
.net разработчик,ОООINTELLIGENT FINANCIAL TECHNOLOGY GROUP ТМ SSD,Опыт 1-3 года,Ташкент,до12 000 000so'mна руки,Software Engineer (General),True
Strong Middle/Senior Golang developer,ОООТЕКНО,Опыт 3-6 лет,Ташкент,,golang,False
Support Team Lead,ОООWOLT TEXNOLOGIYALARI,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Бизнес-аналитик,ОООXususiy Bandlik Agentligi DMC,Опыт 3-6 лет,Ташкент,,Data/Analytics,False
Middle Javascript developer,АО Асакабанк,Опыт 1-3 года,Ташкент,,Java Developer,True
Редактор диалоговых сценарий,TBC,Опыт 1-3 года,Ташкент,,Other,True
Network Development Supervisor (auto industry)/Менеджер по развитию дилерской сети,ИП ООО JETOUR SOUEAST AUTOMOTIVE CENTRAL ASIAN,Опыт 3-6 лет,Ташкент,,Other,False
Разработчик баз данных Oracle (PL/SQL),ОООXususiy Bandlik Agentligi DMC,Опыт 3-6 лет,Ташкент,,Baza Dannix,False
Sales Supervisor (Sales Manager),ИП ООО JETOUR SOUEAST AUTOMOTIVE CENTRAL ASIAN,Опыт 3-6 лет,Ташкент,,Sales,False
Marketing Supervisor (Marketing Manager),ИП ООО JETOUR SOUEAST AUTOMOTIVE CENTRAL ASIAN,Опыт 3-6 лет,Ташкент,,Marketing,False
IT technical support,TBC,Опыт 1-3 года,Ташкент,,IT specialest,True
Senior iOS Developer\Старший разработчик iOS,InFinBank,Опыт 3-6 лет,Ташкент,,Mobile Developer,False
Video surveillance and IT technical support specialist,TBC,Опыт 1-3 года,Ташкент,,IT specialest,True
Head of Accounting Part,ИПООО Samsung Electronics Uzbekistan,Опыт более 6 лет,Ташкент,,Other,False
ML - инженер,ОООUZINFOCOM,Опыт более 6 лет,Ташкент,,Engineer,False
.net developer,ОООREVISION,Опыт 1-3 года,Ташкент,700 – 800$на руки,Software Engineer (General),True
IT Customer Support Specialist,TBC,Опыт 1-3 года,Ташкент,,IT specialest,True
QA-инженер,ОООUZINFOCOM,Опыт более 6 лет,Ташкент,,QA/Testing,False
Консультант - аналитик 1 С,ОООSOFTTEAM PRO,Опыт 1-3 года,Ташкент,,Data/Analytics,True
"Консультант 1С (оперативный учет, регламентированный учет, HR)",ТООAdvantiX group,Опыт 1-3 года,Ташкент,,HR/Recruiter,True
PHP-разработчик,ОООOpen («FUTURE OPEN TECHNOLOGY GROUP»),Опыт 3-6 лет,Ташкент,25 000 000 – 35 000 000so'mдо вычета налогов,PHP,False
Assistant General Manager,ОООSunshine Turon International Ltd,Опыт 1-3 года,Ташкент,,Project Manager,True
Business Development Manager (Узбекистан),ОООGlowByte,Опыт 3-6 лет,Ташкент,,Project Manager,False
System analyst (Insurance),TBC,Опыт 3-6 лет,Ташкент,,Data/Analytics,False
Senior Fullstack разработчик,АОCLICK,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Fullstack разработчик (PL/SQL; PostgreSQL),ОООFido-Biznes,Опыт 1-3 года,Ташкент,,Software Engineer (General),True
Frontend-разработчик,ОООFido-Biznes,Опыт 1-3 года,Ташкент,,Frontend,True
Head of Support,ОООANCOR Uzbekistan,Опыт 3-6 лет,Ташкент,,Other,False
Academic Officer (Admission),НОУ Westminster International University in Tashkent,Опыт 1-3 года,Ташкент,,Other,True
Country Head,Международный фармхолдинг,Опыт более 6 лет,Ташкент,,Other,False
Team lead,ОООSOFTTEAM PRO,Опыт более 6 лет,Ташкент,,Software Engineer (General),False
Project Manager (Logistics),ОООASSTRA INTERMODAL,Опыт 3-6 лет,Ташкент,,Project Manager,False
Enterprise Partner Enablement Manager,FE LLC Huawei Tech Investment Tashkent,Опыт 3-6 лет,Ташкент,,Project Manager,False
Customer Service Specialist,Citi Fuel (ООО Staff Atlantic),Опыт 1-3 года,Ташкент,,Other,True
Enterprise Commercial Market Fulfilment Specialist,FE LLC Huawei Tech Investment Tashkent,Опыт 3-6 лет,Ташкент,,Other,False
Dynamics 365 Field Service Cloud Solution Architect,Itransition,Опыт 1-3 года,Ташкент,,IT specialest,True
HR-менеджер,ОООG-CORE TOSHKENT,Опыт 3-6 лет,Ташкент,,HR/Recruiter,False
Branch Manager,ОООASSTRA INTERMODAL,Опыт 3-6 лет,Ташкент,,Project Manager,False
Менеджер по образовательному консультированию (Продажи и презентации),ОООDIGITAL EDUCATION DEVELOPMENT,Опыт 1-3 года,Ташкент,10 000 000 – 35 000 000so'mна руки,Sales,True
Backend-разработчик,ОООPITTSBURGH INTERNATIONAL,Опыт 3-6 лет,Ташкент,,Backend,False
"Backend-разработчик ""Jowi""",ОООSMART HR,Опыт 1-3 года,Ташкент,,Backend,True
QA инженер,АОCENTER FOR DIGITAL TECHNOLOGY AND INNOVATION,Опыт 1-3 года,Ташкент,,QA/Testing,True
Flutter Senior / Team Leader,ТООPaloma365,Опыт более 6 лет,Ташкент,1 500 – 3 000$на руки,Mobile Developer,False
Dynamics 365 Field Service Business Analyst (Functional Consultant),Itransition,Опыт 3-6 лет,Ташкент,,Data/Analytics,False
Business Development Manager,ОООBARAKAT CHEMICALS DISTRIBUTION,Опыт более 6 лет,Ташкент,,Project Manager,False
QA Engineer,АОSMART BANK,Опыт 3-6 лет,Ташкент,,QA/Testing,False
Salesperson IELTS 7.5 (TSS),Citi Fuel (ООО Staff Atlantic),Без опыта,Ташкент,,Sales,True
Контент-менеджер,ОООIDEA CONCEPT GROUP,Опыт 1-3 года,Ташкент,до8 000 000so'mна руки,Other,True
"Flutter-мобильный разработчик ""Jowi """,ОООSMART HR,Опыт 1-3 года,Ташкент,,Mobile Developer,True
Sales Agent IELTS 7.5 (TSS),Citi Fuel (ООО Staff Atlantic),Без опыта,Ташкент,,Sales,True
Middle Java разработчик,Xalq Banki,Без опыта,Ташкент,,Java Developer,True
Senior JavaScript Developer,ОООFULL STACK SOLUTION,Опыт 3-6 лет,Ташкент,,Java Developer,False
Middle Angular разработчик,Xalq Banki,Без опыта,Ташкент,,Frontend,True
Senior Java Developer,ОООFULL STACK SOLUTION,Опыт более 6 лет,Ташкент,,Java Developer,False
Digital Marketing specialist,ИПООО Samsung Electronics Uzbekistan,Опыт 1-3 года,Ташкент,,Marketing,True
Senior Android Developer,ОООFULL STACK SOLUTION,Опыт более 6 лет,Ташкент,,Mobile Developer,False
Instructional Supervisor,ОООLLI LANGUAGE SERVICES PTE,Опыт 1-3 года,Ташкент,,Other,True
Senior iOS Developer,ОООFULL STACK SOLUTION,Опыт более 6 лет,Ташкент,,Mobile Developer,False
Key Account Manager,ОООANCOR Uzbekistan,Без опыта,Ташкент,,Project Manager,True
Full-Stack QA Engineer,АОCLICK,Опыт 1-3 года,Ташкент,,Fullstack,True
Regional Manager (Tobacco Industry),ОООLAVOROSOLUTIONS,Опыт 3-6 лет,Ташкент,,Project Manager,False
Key Account Manager (KAM),ИПООО Samsung Electronics Uzbekistan,Опыт 1-3 года,Ташкент,,Project Manager,True
Product owner B2B,АОPAYME,Опыт 3-6 лет,Ташкент,,Other,False
Project Manager,АОSolutions Lab,Опыт 1-3 года,Ташкент,,Project Manager,True
